county,rep,dem
Transylvania,7090,5652
Tyrrell,301,1131
Vance,3529,15929
Wake,167022,227908
Union,53754,30891
Warren,1458,7818
Washington,916,4743
Wayne,20038,25749
Wilkes,19062,7987
Yadkin,11674,3218
Wilson,11514,23301
Avery,5661,1083
Pender,12752,10183
Johnston,40566,31146
Durham,23110,100355
Onslow,29339,19926
Duplin,6911,11127
Hoke,4830,11222
New Hanover,44124,41420
Franklin,11137,14608
Ashe,6823,4445
Catawba,37787,19985
Clay,3102,1634
Hyde,422,1518
Moore,24167,13845
Swain,1985,2943
Watauga,11477,9723
Graham,2279,1451
Granville,7888,15408
Harnett,20773,20099
Yancey,4298,4378
Bladen,2946,10710
Davidson,42821,21144
Chowan,2182,3842
Stokes,12997,6251
Jones,1536,2894
Alleghany,2233,2225
Bertie,1231,7718
Alexander,9449,5151
Anson,1954,9049
Beaufort,9326,11050
Camden,1872,1763
Brunswick,31533,21648
Alamance,28760,31469
Burke,17016,14574
Caldwell,20051,10173
Caswell,3094,6385
Carteret,18981,9936
Cabarrus,42214,33098
Chatham,11463,17786
Buncombe,39103,63120
Cherokee,7613,4127
Cleveland,17608,21154
Currituck,5764,3117
Columbus,5640,16072
Craven,20384,18953
Dare,7512,7229
Davie,13105,4325
Edgecombe,4849,20296
Gates,1309,3384
Cumberland,37663,73805
Greene,1780,5476
Gaston,45433,34501
Halifax,3570,20075
Haywood,10968,13569
Forsyth,65799,86839
Hertford,1138,8892
Henderson,26628,14392
Iredell,41983,23934
Guilford,81490,132333
Lee,8648,12058
Jackson,5970,8171
Macon,8741,5340
Lenoir,8058,17052
Lincoln,21649,11578
Madison,3635,5358
Martin,2783,8279
Mcdowell,9069,6438
Mitchell,5548,901
Montgomery,4238,5819
Northampton,1155,8157
Nash,16093,27771
Perquimans,2220,3119
Pamlico,2584,3124
Pasquotank,4771,10192
Person,5667,10205
Orange,13336,43369
Polk,4560,3451
Pitt,25571,44052
Richmond,4622,12975
Randolph,39695,15161
Robeson,7375,34515
Rockingham,17712,18546
Rowan,32752,21227
Sampson,11844,12826
Scotland,2861,9934
Rutherford,13944,12049
Surry,16583,11316
Stanly,15939,9318
Mecklenburg,146921,258203
